0,0,0
372,0,6
1613,0,198
2986,0,39
3915,0,49
4006,0,1679
4798,0,65
5065,0,70
5243,0,166
6163,0,190
6288,0,97
6526,0,768
6596,0,103
7112,0,497
7382,0,1890
7525,0,117
8039,0,249
8835,0,175
9802,0,1213
10813,0,191
11834,0,214
12497,0,506
13018,0,310
13809,0,275
13976,0,282
14937,0,313
15245,0,1125
16254,0,364
16370,0,370
17099,0,407
17816,0,440
18162,0,464
19314,0,554
20268,0,675
20620,0,706
20839,0,753
21523,0,1347
21542,0,1280
21831,0,1303
21862,0,1398
0,1,143
62,1,1
69,1,558
139,1,3
473,1,7
913,1,461
1027,1,13
1036,1,527
1511,1,18
1598,1,27
1617,1,19
1958,1,24
2000,1,24
2098,1,630
2261,1,684
2529,1,33
2535,1,33
2562,1,33
2571,1,33
2586,1,33
2682,1,33
2838,1,202
2879,1,37
2895,1,131
3024,1,40
3170,1,42
3188,1,422
3400,1,290
4133,1,54
4259,1,57
4358,1,129
4382,1,193
4551,1,129
4684,1,64
5047,1,105
5095,1,774
5303,1,238
5336,1,507
5339,1,686
5809,1,761
5813,1,88
5992,1,107
6023,1,238
6060,1,129
6071,1,101
6130,1,95
6887,1,108
7102,1,128
7115,1,111
7175,1,135
7257,1,113
7822,1,122
7990,1,124
8066,1,125
8102,1,126
8104,1,126
8130,1,126
8226,1,128
8353,1,129
8463,1,130
8472,1,130
8641,1,314
8822,1,378
9166,1,144
9538,1,153
9609,1,155
9959,1,208
10090,1,171
10137,1,172
10209,1,175
10304,1,178
10328,1,178
10354,1,179
10769,1,190
10858,1,192
10911,1,193
10927,1,193
10958,1,194
11129,1,198
11172,1,198
11227,1,199
11249,1,199
11269,1,200
11296,1,482
11312,1,277
11332,1,200
11487,1,203
11779,1,478
11825,1,213
11849,1,417
12249,1,400
12487,1,383
13832,1,277
13848,1,277
14440,1,297
14779,1,309
14829,1,310
15054,1,315
16313,1,368
16349,1,767
16427,1,373
16553,1,378
16571,1,457
18336,1,471
19647,1,586
19663,1,586
19853,1,597
20110,1,630
20252,1,646
20518,1,685
21167,1,833
21177,1,836
21280,1,867
0,2,907
5379,2,77
20946,2,773
0,3,984
478,3,357
2704,3,267
4931,3,1834
5998,3,92
8544,3,949
9600,3,154
11699,3,208
12160,3,221
